home_team,away_team,date,city,neutral,is_world_cup
France,Paraguay,2026-07-04,Philadelphia,True,True
Canada,Morocco,2026-07-04,Houston,True,True
Brazil,Norway,2026-07-05,East Rutherford,True,True
Mexico,England,2026-07-05,Mexico City,True,True
Portugal,Spain,2026-07-06,Dallas,True,True
United States,Belgium,2026-07-06,Seattle,True,True
Argentina,Egypt,2026-07-07,Atlanta,True,True
Switzerland,Colombia,2026-07-07,Vancouver,True,True
