Modelo,Acc,LL
Logistica,0.6046866333887965,0.864198045415765
RF,0.6053799223516362,0.8657649760140732
Log_Cal,0.6053799223516362,0.8722001562432385
RF_Cal,0.6046866333887965,0.8733575795439231
